"id","frame","x [nm]","y [nm]","sigma [nm]","intensity [photon]","offset [photon]","bkgstd [photon]","chi2","uncertainty_xy [nm]"
1467,10,12708.6272569,3936.0993865,163.7376347,25981.3236481,4019.5635195,217.2660796,72.8642842,9.263747
1471,10,13375.5558878,18969.3959233,154.06423,116449.9225857,4779.0395346,576.3026423,254.0363109,4.8696474
1472,10,13514.2796412,11395.0623425,178.7043983,113834.2254443,4902.9069982,828.3649233,555.4906995,9.4499166
1473,10,13472.9848284,13075.680252,128.5438183,63165.5430556,5604.9365417,560.3464046,290.2468865,6.2136089
1475,10,13585.1269964,5338.876344,123.4709193,43496.0717064,3617.6707003,361.3793109,165.6491086,5.4303833
1483,10,14477.5564686,6374.0304374,120.1665361,32988.6841273,3294.6525918,297.0037304,152.4324166,5.6107932
1484,10,14595.4715594,20248.5608397,363.4297465,163024.4835422,2876.0109382,310.6708326,118.0105873,9.9548268
1487,10,14958.3401411,10572.0051969,12.6840017,3371.7213228,4668.9758976,300.704177,130.9670104,5.4362829
1488,10,14805.9275615,15854.1821335,498.9438275,365113.6409234,1572.7789571,367.7074483,180.380573,9.8570787
1489,10,15145.7441754,14915.8265791,438.8897645,259619.4322924,2102.8913508,334.8664136,146.4300793,9.7902922
1490,10,15256.5188132,7959.1754747,136.7345685,52266.7321972,2947.1117692,302.511352,155.9770822,4.5890359
1503,11,3102.8632466,9590.2697469,151.8152063,32421.4794115,2927.1872021,338.8447693,209.8543694,9.9888902
1517,11,4122.5969075,12098.7316562,134.9763285,69030.1085631,4495.559597,629.0234751,368.6504814,6.9775658
1522,11,4840.2947486,7772.8391806,699.6363367,886617.0050837,0.0130944,220.5518595,74.9200902,4.8435318
1524,11,4817.0002066,16514.3197447,420.1866745,206510.3615479,1996.4309427,227.5585545,77.5191731,7.7157809
1533,11,5575.6538174,18798.0899874,295.6028404,53264.7922745,2964.1067177,149.6486275,39.0373552,9.837253
1541,11,6368.3682007,8795.6574337,144.0103573,28370.5688282,3692.2829964,275.0080179,109.9781635,8.4142956
1553,11,7411.0840809,3826.4253202,112.2611793,31840.7292827,4251.2123895,370.0738477,176.1557384,6.377706
1591,11,10128.6983672,8871.3051373,116.3048101,16439.6191062,4247.4792799,201.5671819,57.6606447,7.2139819
